Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bélgica,BEL,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,10.65,9.51,10.82,12.43,12.21,12.41,11.55,11.7,10.22,8.28,6.92,7.8,8,8.28,9.51,9.31,8.45,7.6,8.11,8.52,7.18,7.41,8.17,7.94,7.77,7.56,7.05,5.56,4.93,
Benin,BEN,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,0.54,0.58,0.62,0.61,0.64,0.59,0.58,0.54,0.53,0.5,0.46,0.43,0.5,0.57,0.62,0.69,0.74,0.79,1,1.15,2.87,2.87,2.88,2.79,2.76,2.74,2.65,2.55,2.48,
Burkina Faso,BFA,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.63,2.56,2.71,2.7,2.71,2.67,2.58,2.59,2.7,2.74,2.88,2.98,3.13,3.81,4.67,4.25,3.93,4.47,5.37,6.21,6.9,7.78,8.73,9.56,8.14,6.9,5.7,4.63,4.54,
Bangladesh,BGD,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.08,2.12,2.12,2.13,2.12,2.12,2.39,2.66,3,3.33,3.72,4.24,4.84,5.96,7.09,6.49,6.64,6.78,7.39,4.44,5.41,6.45,7.61,7.51,7.46,7.38,6.75,6.65,6.55,
Bulgaria,BGR,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,13.07,13.2,13.28,13.45,13.55,13.41,13.49,11.78,14.15,15.81,18.86,17.36,13.19,11.62,9.83,9.3,7.29,5.76,6.62,9.61,10.11,10.84,11.84,10.4,8.42,6.97,5.95,4.65,3.87,
Bahrein,BHR,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,3.44,3.5,3.34,3.31,3.11,3.13,3.19,3.21,3.09,3.18,3.1,3.17,3.27,3.37,3.59,3.71,3.98,4.09,3.72,3.7,3.76,3.89,3.95,4.09,4.11,4.25,4.55,4.68,4.76,
Bahamas,BHS,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,12.1,15.85,13.03,15.24,11.76,14.7,11.38,9.84,9.29,8.28,7.03,9.53,11.8,10.92,11.2,8.05,9.1,9.25,14.04,14.5,15.35,13.97,16.26,14.63,12.99,14.46,11.37,9.95,10.12,
Bosnia y Herzegovina,BIH,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,21.22,22.14,23.15,24.59,25.62,26.66,27.45,28.35,29.19,29.84,30.63,31.8,32.7,33.59,34.32,34.87,32.95,26.8,25.65,29.93,29.93,30.65,29,31.12,30.65,29.98,23.1,20.29,18.73,
Belarús,BLR,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,0.08,1.78,6.7,10.78,15.57,22.65,15.45,12.29,11,10.27,9.5,8.86,8.23,7.62,6.9,6.22,5.56,5.04,4.63,4.72,4.63,4.55,4.52,4.42,4.27,4.19,4.04,3.55,3.5,
Belice,BLZ,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,15,14.44,14.39,15.72,18.06,18.67,20.76,21.79,20.63,18.33,15.51,15.17,16.06,16.58,17.21,15.07,13.12,12.76,12.91,12.9,12.79,12.72,12.58,14.01,11.07,11.12,9.8,9.74,9.66,
Bolivia,BOL,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,3.5,3.41,3.62,3.66,3.66,3.66,3.69,3.71,3.54,3.6,3.53,3.61,3.6,3.61,3.57,3.47,3.37,3.4,3.46,3.05,2.67,2.8,2.97,2.85,3.8,4.04,4.06,3.61,3.54,
Brasil,BRA,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,8.11,8.1,7.45,7.86,8.11,9.57,10.87,12.6,13.32,12.9,12.22,11.86,12.66,11.99,12.54,11.38,11.14,9.95,11.37,10.6,9.44,9.06,8.77,8.11,10.06,13.46,14.72,14.23,14.14,
Barbados,BRB,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,26.18,25.67,27.72,27.98,22.86,17.77,18.03,16.54,13.48,11.39,11.81,12.21,12.56,10.45,10.8,9.81,8.43,9.43,9.89,10.47,12.63,12.26,11.43,12.65,10.32,10.1,10.19,10.21,10.35,
Brunei Darussalam,BRN,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,6.71,6.82,6.74,6.69,6.89,6.98,6.89,6.82,6.97,7.18,7.26,7.34,7.44,7.47,7.53,7.82,8.06,7.94,7.63,7.75,8.01,8.02,7.89,7.9,8.57,9.28,9.99,10.06,8.27,
Bhután,BTN,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,1.26,1.27,1.32,1.34,1.39,1.41,1.39,1.4,1.63,2.2,2.87,2.76,2.57,3.31,3.33,3.8,4.77,5.01,5.54,4.05,4.88,2.22,3.77,3.61,3.25,3.24,3.15,3.06,3.02,
Botswana,BWA,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,16.93,18.82,21.14,22.98,23.74,24.12,23.98,23.65,20.55,17.25,22.07,24.45,26.47,24.24,22.14,20.12,19.91,19.74,19.71,21.54,21.42,21.35,21.43,21.08,20.87,20.92,20.71,20.61,20.51,
República Centroafricana,CAF,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,4.5,4.57,4.67,4.72,4.67,4.6,4.66,4.66,4.7,4.66,4.65,4.68,4.64,4.61,4.57,4.42,4.3,4.28,4.53,4.59,4.56,4.58,4.51,4.68,4.49,4.41,4.33,4.26,4.21,
Canadá,CAN,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,9.69,10.19,10.67,9.79,9.11,9.29,8.92,7.99,7.29,6.69,6.86,7.12,7.16,6.85,6.46,6.09,5.65,5.65,7.01,7.23,7.01,6.82,6.6,6.39,6.29,6.24,5.85,5.49,5.25,
Europa Central y del Báltico,CEB,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,10.00512189,10.22294896,11.74043671,12.03392093,11.64035654,11.05540148,9.981826278,9.563343711,10.57614587,12.98239897,13.64385962,14.05170542,13.29798041,13.12278104,12.69929131,10.60835923,8.203263571,6.983896062,8.460743443,9.820673371,9.889162816,10.13953308,10.2414373,9.166719357,7.905661906,6.442238394,5.260026129,4.294307444,3.853870294,
Suiza,CHE,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.52,3.53,4.57,4.42,3.92,4.08,3.99,4.14,3.57,3.13,3.46,3.1,4.49,4.76,5.09,4.71,4.51,3.97,4.52,5.19,4.79,4.73,4.92,4.99,4.91,5.01,5.06,5.11,4.71,
Islas del Canal,CHI,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,5.68,5.58,5.6,5.75,5.83,5.84,5.96,6.08,6.03,6.16,6.1,5.87,5.87,5.99,6.25,6.56,6.9,6.83,6.16,6.16,6.46,6.47,6.51,6.67,6.83,6.92,7.06,7.19,7.3,
Chile,CHL,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,5.69,5.32,5.1,6.78,5.24,9.97,9.56,9.32,13.09,12.46,11.92,11.79,12,12.98,12.25,11.73,10.86,12.1,13.4,9.91,8.86,8.13,7.17,7.12,7.14,7.26,7.46,7.98,8.01,
China,CHN,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.09,2.09,2.35,2.52,2.61,2.69,2.78,2.78,2.87,2.87,3.3,3.65,3.99,3.91,3.91,3.82,3.73,3.99,4.08,3.9,3.9,3.99,3.99,3.99,3.99,3.9,3.81,3.72,3.98,
Côte d'Ivoire,CIV,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,6.34,6.4,5.56,4.74,4.04,4.07,4.04,4.04,4.19,4.3,4.53,4.72,4.97,5.19,5.38,5.45,5.58,5.79,6.3,6.62,6.66,7.35,5.24,4.58,3.98,3.38,3.87,3.81,3.76,
Camerún,CMR,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,6.04,6.13,6.26,6.31,6.46,6.52,6.55,6.57,6.62,6.66,6.7,6.27,5.78,5.3,4.61,4.05,3.51,3.85,4.43,4.9,4.68,4.48,4.29,4.05,4.01,3.96,3.87,3.83,3.78,
"Congo, República Democrática del",COD,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.2,2.27,2.3,2.29,2.28,2.32,2.36,2.39,2.28,2.26,2.25,2.26,2.28,2.24,2.2,2.31,2.41,2.56,2.95,3.22,3.38,3.61,3.63,3.62,3.56,3.47,3.38,3.3,3.24,
"Congo, República del",COG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,20.54,20.7,20.88,21.03,21.19,21.19,20.9,21.1,20.98,21.24,21.12,21.2,21.1,21.07,21.08,20.1,19.05,18.4,18.34,15.59,12.92,10.71,10.73,10.86,10.77,10.57,10.31,10.22,10.24,
Colombia,COL,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,13.8,13.36,11.33,12.53,11.48,15.12,15.31,18.31,23.72,25.06,19.37,19.99,18.63,18,15.86,15.38,14.81,14.76,15.83,14.19,13.1,12.66,11.67,11.03,10.84,11.2,11.51,11.79,12.76,
Comoras,COM,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,4.71,4.97,4.87,4.96,5.04,4.9,4.97,4.91,4.96,4.88,4.95,4.92,4.91,4.89,5.29,5.59,6.07,6.54,7.32,7.97,8.57,9.24,9.97,10.55,10.51,10.42,10.22,10.05,10.02,
Cabo Verde,CPV,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,10.47,10.62,10.96,11.04,11.04,11.01,11.06,11.05,11.27,11.05,11.01,11.07,11.13,11.05,11,10.95,10.94,10.78,10.81,11,11.38,11.51,11.77,12.02,12.29,12.64,12.77,11.55,11.46,
Costa Rica,CRI,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,7.1,5.31,4.99,5.57,6.51,8.25,7.35,7.57,7.92,6.64,7.39,7.76,8,8.29,9.32,8.36,6.76,5.88,9.59,9.11,12.72,11.61,10.41,11.25,11.15,10.84,10.29,12.19,14.96,
Estados pequeos del Caribe,CSS,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,18.47309636,18.62300189,18.24754003,17.67035698,17.2397559,17.49015727,17.56462814,16.79021169,16.8476043,16.24860288,15.37859639,14.92774997,13.7618537,12.8793573,12.84975166,11.86023723,11.75165556,11.45567481,12.35103195,13.02564271,13.49082713,14.03567591,14.84034525,13.96037424,13.51668298,13.50229833,12.33912733,10.69415412,9.705219789,
Cuba,CUB,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,12.44,12.68,13.01,13.44,13.48,12.68,11.46,9.58,9.86,8.42,5.81,4.67,3.43,2.21,2.21,2.22,1.87,1.96,1.99,2.71,3.51,3.61,3.55,3.13,2.58,2.18,1.64,1.82,1.8,
Chipre,CYP,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.18,2.23,2.71,3.27,4.01,4.79,5.56,6.57,7.83,7.45,5.82,4.21,4.6,5.48,6.53,5.43,4.6,4.25,5.47,6.42,7.62,11.02,15.13,15.02,14.77,13.33,11.27,8.76,8.01,
República Checa,CZE,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.07,3.39,5.44,5.19,4.81,4.66,5.12,7.56,10.13,10.54,9.61,8.56,9.65,9.65,9.79,8.84,6.74,5.61,7.73,8.46,7.9,8.21,8.29,7.4,6.07,4.67,3.58,2.8,2.38,
Alemania,DEU,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,6.54,8.24,9.33,10.32,9.63,9.6,10.59,10.44,9.24,8.27,7.78,8.21,9.28,10.08,10.89,10.17,8.8,7.65,7.31,6.49,5.58,5.18,4.91,4.63,4.22,3.74,3.32,2.91,2.73,
Djibouti,DJI,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,11.35,11.55,11.48,11.67,11.56,11.58,11.65,11.71,11.84,11.75,11.73,11.86,11.89,11.81,11.73,11.66,11.54,11.51,11.71,11.76,11.86,11.81,12.15,11.67,11.6,11.7,11.5,11.2,11.26,
Dinamarca,DNK,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,10.02,9.86,11.09,9.01,8.66,8.41,6.45,6.41,5.9,4.97,4.78,4.32,5.75,5.44,5.28,4.54,4.2,4.07,5.67,6.76,7.62,7.79,7.67,7.14,6.53,6.38,6.05,5.35,5.27,
República Dominicana,DOM,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,10.51,10.89,10.87,10.78,10.84,10.82,10.86,10.81,10.81,10.72,11.28,10.19,10.07,10.06,9.75,8.92,7.61,7.42,7.92,7.07,8.38,9.25,10.57,9.71,10.91,10.73,8.12,9.1,9.6,
Argelia,DZA,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,16.6,20.64,22.67,25.17,30.56,28.56,26.17,27.77,28.74,29.72,27.69,27.09,25.44,18.21,18.04,16,20.08,18.29,18.09,19.09,17.13,17.01,16.27,15.64,16.59,18.32,20.62,20.49,20.44,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.207204506,2.151532421,2.380802664,2.674681369,2.761463983,2.83650977,2.912159686,3.064647746,3.164463731,3.117792559,3.549046442,3.761044643,4.056730866,4.054036119,4.106789099,3.967283601,3.96465943,3.992295803,3.926849899,3.728183222,3.634893592,3.618281785,3.576328502,3.544666038,3.612268765,3.502890043,3.420167404,3.347067447,3.478382693,
inicial del dividendo demográfico,EAR,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,5.56124061,5.624868042,5.983377656,6.534264692,7.089532365,6.959894654,6.882468757,6.939058017,7.162911121,7.087563645,7.223448012,7.594504165,7.621871996,7.608266221,7.516305355,7.146615336,6.981273451,6.444738593,6.692601426,6.605164375,6.417091001,6.387163771,6.525796572,6.441905081,6.726987426,6.702676382,6.54922439,6.441495308,6.365901233,
Asia oriental y el Pacífico,EAS,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.271191378,2.234500639,2.46383607,2.739665596,2.819662076,2.894439521,2.975268803,3.209351505,3.319137878,3.23264806,3.642956496,3.858919219,4.124750205,4.084230903,4.111371568,3.953871436,3.935913746,3.96094184,3.993387239,3.800495197,3.679193697,3.652365279,3.596797086,3.572841586,3.6146094,3.500376309,3.412234652,3.318380166,3.43111966,
Europa y Asia central (excluido altos ingresos),ECA,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,4.976341779,5.179857001,5.994715435,7.646901078,9.088308208,9.98773808,11.00937016,12.01926454,12.19890026,10.91326822,9.906748527,9.473088925,9.224491641,8.924785137,8.375332106,7.84676609,6.970923621,6.992477816,8.347415078,7.957744424,7.408114365,6.842661724,6.92266631,6.996377555,7.277606894,7.219506567,7.056561572,6.804515674,6.986902725,
Europa y Asia central,ECS,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,7.667877761,8.024293414,9.128934273,10.24993892,10.77263818,11.14095526,11.47605886,11.72358686,11.53401206,10.71374269,9.706338241,9.556025872,9.478277761,9.453422598,9.128367278,8.465482682,7.470890599,7.294264422,8.647552593,8.830160613,8.675877156,8.88688523,9.138480621,8.87812147,8.534337356,8.098461622,7.549431928,7.000344703,6.772240067,
Ecuador,ECU,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,6.26,6.28,6.36,6.46,6.39,6.37,6.45,6.42,6.2,6.39,5.24,5.78,6.16,5.72,4.71,4.37,3.92,5.01,5.89,4.97,4.29,3.82,3.67,4.15,4.52,5.85,4.93,4.4,4.6,
"Egipto, República Árabe de",EGY,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,21.33,17.31,22.4,22.84,23.71,18.57,19.86,19.71,19.1,22.96,21.99,24.06,23.68,25.38,25.11,23.93,18.42,18.87,22.41,22.12,22.45,24.01,24.16,23.98,24.91,23.68,23.09,21.44,21.33,
Zona del Euro,EMU,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,10.88688029,11.52685393,13.0296908,14.12760449,13.99485828,14.0428607,13.9507189,13.54487795,12.65395313,11.45877217,9.928851089,10.00285446,10.1440676,10.39208213,10.13354921,9.438863524,8.473814904,8.276764445,9.713102025,10.25303028,10.36265242,11.45519007,12.05349013,11.78741927,11.03450523,10.37687383,9.454829432,8.571242035,7.933596521,
Eritrea,ERI,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,6.91,6.94,7.43,7.34,7.51,7.52,7.44,7.62,7.89,7.64,7.7,7.54,7.6,7.43,7.35,7,6.87,6.87,7.09,7.11,7.01,6.97,7.04,6.93,6.83,6.82,6.68,6.59,6.46,
España,ESP,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,23.25,25.26,28.76,31.61,30.55,29.55,28.01,26.65,22.85,20.37,15.06,16.07,15.7,15.05,11.99,11.35,10.7,12.84,18.13,20.23,21.81,25.03,26.67,25.43,23.55,21.39,19.04,17.03,16.01,
Estonia,EST,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,1.53,3.46,6.64,7.93,8.86,9.23,9.54,8.5,10.13,11.61,13.24,8.68,10.38,8.83,6.91,5.59,3.76,5.14,10.29,14.09,11.58,9.1,8.16,6.81,6.13,6.07,5.3,5.32,4.85,
Etiopía,ETH,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,3.12,3.18,3.33,3.27,3.58,3.92,4.16,4.54,4.99,4.66,4.34,4.13,3.88,3.63,3.28,3.14,2.99,2.91,3.05,3.05,3.02,2.99,2.95,2.92,2.89,2.85,2.8,2.72,2.68,
Unión Europea,EUU,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,10.62173166,11.1497492,12.54100149,13.33263529,13.072635,12.98382375,12.68946028,12.28552038,11.83465306,11.50124232,10.54188859,10.68445594,10.62216979,10.77608603,10.56849229,9.598875581,8.32434975,7.893397619,9.26696301,9.94003324,10.07642366,10.97266487,11.47717973,11.04779015,10.1948802,9.390497564,8.451740142,7.579496309,7.037310692,
Frágiles y situaciones de conflicto afectados,FCS,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,4.01893572,3.987454762,4.099443079,4.39429809,4.686340682,4.908524875,4.979450517,5.057703056,5.331372551,5.347052781,5.388747616,5.60675136,5.638649307,5.540352731,5.239365729,5.061595382,4.957259454,4.916342908,5.245613889,5.473313971,5.513676994,5.583836076,5.690612676,6.101822072,6.065655968,6.629297918,6.874988118,6.526385962,6.286338616,
Finlandia,FIN,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,5.03,9.64,14.42,14.87,16.15,15.56,15.18,13.58,12.45,11.99,10.76,10.17,9.94,10.58,8.61,8.08,7.19,6.69,7.57,7.64,7.1,7.05,7.52,7.95,8.84,8.58,8.39,7.3,6.17,
Fiji,FJI,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,4.84,5.14,5.17,5.27,5.21,5.29,5.1,5.28,5.52,5.16,5.26,5.37,5.32,5.41,5.16,5,4.7,4.65,4.68,4.73,4.62,4.77,5.15,5.28,5.45,5.56,5.55,5.42,5.33,
Francia,FRA,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,11.64,12.87,13.43,14.51,14.08,14.51,14.44,14.13,13.92,12.21,10.52,9.8,9.14,9.88,9.27,9.12,8.09,7.44,8.8,9.07,9.12,9.36,9.79,10.03,9.9,9.84,9.37,9.05,8.38,
Gabón,GAB,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,15.88,15.59,16.01,16.65,17.33,17.85,18.68,19.3,19.31,20.12,20.95,21.58,22.19,22.64,22.98,23.75,24.89,25.66,27.34,28.97,28.96,28.96,29.04,28.87,28.72,28.52,28.2,28.01,27.95,
Reino Unido,GBR,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,7.4,7.43,7.75,7.4,6.93,6.33,5.81,5.36,5.15,4.86,4.11,4.36,4.06,4.19,4.29,4.94,4.96,5.08,6.42,6.87,7.34,7.38,7.04,5.82,5.12,4.68,4.22,3.94,3.53,
Georgia,GEO,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,1.67,4.17,4.18,7.18,6.5,10.65,10.62,13.72,12.14,10.5,10.64,10.99,11.54,11.76,12.67,11.65,12.56,17.59,19.06,17.53,17.36,18.34,16.15,14.45,13.9,12.53,12.7,11.22,10.15,
Ghana,GHA,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,5.61,5.66,6.26,6.77,7.29,7.8,8.35,8.83,10.77,10.68,9.54,8.51,7.54,6.62,5.7,4.77,4.82,5.11,5.44,5.81,6.13,6.21,6.38,6.42,6.57,5.42,4.39,4.29,4.29,
